minimum,maximum,mean,standardDev,rms,zcf,variance,median,kurtosis,skewness,shanonEnt,class
-164,225,5.156944105,50.53080242,50.79326791,478,2553.985372,4,0.609255561,0.151828741,5.285170279,Healthy
-287,285,5.906028802,91.43230792,91.622858,539,8361.907915,4,-0.280578044,0.00489558,5.866592807,Healthy
-295,360,-18.00951916,104.2150813,105.7597558,536,10863.43472,-16,-0.350672549,0.072242881,5.985197684,Healthy
-352,317,-18.54674152,103.141501,104.7957577,509,10640.76643,-21,-0.150454959,0.13164391,5.973306789,Healthy
-178,213,-1.548206004,46.02047366,46.04650842,635,2118.401057,-3,0.311762142,0.128147227,5.201282783,Healthy
-226,176,-51.78301196,55.80941474,76.13258895,344,3115.451196,-52,0.097672424,0.057704639,5.38881612,Healthy
-392,251,-50.99365389,97.20207587,109.7660981,487,9450.550253,-51,-0.080488193,-0.012010675,5.922208377,Healthy
-295,348,6.190139126,96.61896819,96.8170586,527,9337.504121,7,-0.115883127,-0.077711184,5.915719599,Healthy
-108,207,56.38979741,41.98337157,70.30229542,202,1763.033812,56,0.458067375,-0.019384151,5.111931779,Healthy
-424,329,-18.49011472,102.8759592,104.5243863,533,10586.04684,-21,-0.003290717,0.0405213,5.965402035,Healthy
-148,208,8.519892604,51.22438072,51.92808248,676,2624.57779,8,0.053966581,0.113492596,5.31385341,Healthy
-302,278,-51.90236759,75.46354181,91.58931108,365,5696.136462,-56,0.671343991,0.247913008,5.661354608,Healthy
-143,195,8.333658775,47.72370568,48.44586621,475,2278.108127,7,0.200656246,0.159051008,5.237212181,Healthy
-180,222,4.799365389,62.43839645,62.62257787,504,3899.505146,3,0.278444407,0.137456984,5.493933178,Healthy
-208,186,-27.34708323,60.6834447,66.56082498,440,3683.379504,-29,0.024851549,0.198446876,5.467921476,Healthy
-228,289,-18.6743959,68.06409785,70.57941966,469,4633.852452,-24,0.840466808,0.513602326,5.554472001,Healthy
-188,146,-6.026116671,46.35127679,46.74136222,512,2148.965382,-6,0.140181904,-0.02873459,5.214042762,Healthy
-343,212,-52.31193556,71.14828483,88.30977883,347,5063.314294,-55,0.535909207,0.203355666,5.615425003,Healthy
-259,300,4.904076153,65.68408223,65.8669008,480,4315.451978,4,0.40891297,0.086019943,5.536827175,Healthy
-199,138,-52.26165487,45.76064881,69.46450568,258,2094.548219,-52,0.74391765,0.262237886,5.186987828,Healthy
-258,242,-51.71418111,68.56331788,85.87948001,368,4702.076247,-53,0.303734419,0.268432106,5.577317148,Healthy
-98,228,56.48620942,46.51518099,73.17345091,247,2164.1903,56,0.160073056,0.06500497,5.214996403,Healthy
-164,138,2.873810105,41.28785276,41.38774662,551,1705.102969,3,0.499476822,-0.007217686,5.095603624,Healthy
-254,175,-3.067122285,57.77015162,57.85151387,448,3338.20521,1,0.338421444,-0.303233449,5.412459875,Healthy
-240,186,-29.00707835,59.18744564,65.91330909,433,3504.008983,-30,0.237117228,0.11879156,5.444728353,Healthy
-191,117,-14.19575299,43.8803736,46.11948168,479,1925.957277,-14,0.091097375,-0.097174707,5.156523878,Healthy
-157,171,-2.484989016,41.18937532,41.26426795,623,1696.97884,-2,0.315159676,0.089283739,5.09383598,Healthy
-177,200,7.604344642,50.24478922,50.81697454,705,2525.155186,7,0.002001799,0.044168419,5.289454229,Healthy
-260,201,-13.83060776,61.90369516,63.42990766,512,3833.003038,-15,0.215383613,-0.008462906,5.487155499,Healthy
-260,278,5.288991945,89.27481524,89.43134838,545,7971.938436,6,-0.321699677,-0.025284481,5.84422888,Healthy
-178,173,-5.549914572,45.91762329,46.25180732,544,2108.942881,-5,0.351445111,0.053105014,5.19721968,Healthy
-303,294,-18.78276788,97.90172886,99.68721525,516,9587.088541,-22,-0.26140922,0.080700018,5.923658528,Healthy
-396,295,-51.38052233,97.25913812,109.9968091,466,9461.649357,-53,0.047221514,0.093577756,5.91403243,Healthy
-259,313,4.809616793,89.2252055,89.35474083,564,7963.080933,5,-0.280230117,-0.014372976,5.833139848,Healthy
-272,189,8.916524286,64.98891862,65.59774348,484,4224.590686,10,0.165022977,-0.193802023,5.532489461,Healthy
-179,247,-4.797656822,63.12687624,63.30892524,557,3985.975405,-6,-0.028953552,0.104748661,5.504024935,Healthy
-324,360,-19.30900659,98.36695232,100.2441771,531,9678.419628,-22,-0.137474856,0.134386609,5.925981313,Healthy
-207,31,-75.99536246,31.75067977,82.36140347,20,1008.351785,-76,0.593015196,-0.245315995,4.835883309,Healthy
-158,153,-2.311691482,37.75724708,37.82794767,594,1425.957756,-2,0.337232962,-0.069634003,5.010631724,Healthy
-141,156,-3.0707835,40.22336789,40.34041442,557,1618.314324,-4,0.662155989,0.102855474,5.065594975,Healthy
-279,245,-50.90456432,75.95229237,91.43317442,372,5770.159103,-56,0.35654797,0.343449678,5.66731659,Healthy
